# Consumer OID demand matrix -- plan row F3(b).
# Consumer: etherscope-nxg
# Capture window (UTC): 2026-09-06T01:14:11Z .. 2026-09-06T07:06:25Z
# SNMP request datagrams to udp/161: 514504
# ... on a pack VLAN and a mapped pack address: 390198
# ... on a non-pack VLAN (lab infrastructure): 82337
# ... on a pack VLAN but an unmapped address: 10771 across 515 addresses
# ... undecodable as an SNMP request: 0
# Regenerate:
#   NIAC_ROLE_MAP_OUT=roles.tsv go test ./internal/scenario -run TestWritePackDeviceRoles
#   python3 scripts/extract-oid-demand.py --pcap <capture> --roles roles.tsv --out <this file>
pack	role	pdu	oid	requests
campus	access-point	get	.1.3.6.1.2.1.1.1.0	362
campus	access-point	get	.1.3.6.1.2.1.1.2.0	362
campus	access-point	get	.1.3.6.1.2.1.1.3.0	362
campus	access-point	get	.1.3.6.1.2.1.1.4.0	362
campus	access-point	get	.1.3.6.1.2.1.1.5.0	362
campus	access-point	get	.1.3.6.1.2.1.1.6.0	362
campus	access-point	get	.1.3.6.1.2.1.17.1.1	222
campus	access-point	get	.1.3.6.1.2.1.4.1.0	222
campus	access-point	get	.1.3.6.1.2.1.4.21.1.7.0.0.0.0	222
campus	access-point	get	.1.3.6.1.2.1.67.1.1.1.1.1	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.10.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.14.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.18.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.3.0	222
campus	access-point	get	.1.3.6.1.4.1.14179.1.1.1.4.0	222
campus	access-point	get	.1.3.6.1.4.1.14823.2.2.1.2.1.1.0	222
campus	access-point	get	.1.3.6.1.4.1.14823.2.2.1.2.1.3.0	222
campus	access-point	get	.1.3.6.1.4.1.25053.1.1.2.1.1.1.1.0	222
campus	access-point	get	.1.3.6.1.4.1.25053.1.1.2.1.1.1.2.0	222
campus	access-point	get	.1.3.6.1.4.1.6876.1.1.0	222
campus	access-point	get	.1.3.6.1.4.1.6876.1.2.0	222
campus	access-point	get	.1.3.6.1.4.1.6876.1.4.0	222
campus	access-point	getbulk	.1.0.8802.1.1.1.1.2.1.1.1	222
campus	access-point	getbulk	.1.0.8802.1.1.1.1.2.1.1.6	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.3.7.1.2	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.3.7.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.3.7.1.4	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.12	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.4	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.5	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.6	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.7	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.8	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.1.1.9	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.4.2.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.1.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.1	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.2	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.3	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.4	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.5	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.6	222
campus	access-point	getbulk	.1.0.8802.1.1.2.1.5.4795.1.3.3.1.7	222
campus	access-point	getbulk	.1.2.840.10006.300.43.1.2.1.1.13	222
campus	access-point	getbulk	.1.2.840.10036.1.1.1.11	222
campus	access-point	getbulk	.1.3.6.1.2.1.10.7.2.1.13	222
campus	access-point	getbulk	.1.3.6.1.2.1.10.7.2.1.19	222
campus	access-point	getbulk	.1.3.6.1.2.1.17.1.4.1.2	444
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.2	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.2.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.3.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.4	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.4.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.5	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.5.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.6	444
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.6.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.8	222
campus	access-point	getbulk	.1.3.6.1.2.1.2.2.1.8.3	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.1	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.15	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.18	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.2	222
campus	access-point	getbulk	.1.3.6.1.2.1.31.1.1.1.9	222
campus	access-point	getbulk	.1.3.6.1.2.1.4.20.1.1	444
